Selection column	Selection value	Category column	Category value	Total size	Selection size	Category size	Intersection size	Enrichment factor	P value	Benj. Hoch. FDR
Cluster	Cluster -808	GOBP	GO:0015985	3278	448	14	9	4.7038	1.5093E-05	0.0023934
Cluster	Cluster -808	GOBP	GO:0015986	3278	448	14	9	4.7038	1.5093E-05	0.0023934
Cluster	Cluster -808	GOBP name	energy coupled proton transport, down electrochemical gradient	3278	448	14	9	4.7038	1.5093E-05	0.0023934
Cluster	Cluster -808	GOBP name	ATP synthesis coupled proton transport	3278	448	14	9	4.7038	1.5093E-05	0.0023934
Cluster	Cluster -808	GOCC name	signalosome	3278	448	11	7	4.6562	0.00015806	0.0063245
Cluster	Cluster -808	GOCC	GO:0008180	3278	448	11	7	4.6562	0.00015806	0.0063245
Cluster	Cluster -808	KEGG	ko00720	3278	448	11	7	4.6562	0.00015806	0.015996
Cluster	Cluster -808	KEGG name	Carbon fixation pathways in prokaryotes	3278	448	11	7	4.6562	0.00015806	0.015996
Cluster	Cluster -810	GOBP name	SRP-dependent cotranslational protein targeting to membrane	3278	364	96	49	4.5966	4.0207E-23	1.4505E-19
Cluster	Cluster -810	GOBP	GO:0006614	3278	364	96	49	4.5966	4.0207E-23	1.4505E-19
Cluster	Cluster -810	GOBP	GO:0006613	3278	364	97	49	4.5492	7.3208E-23	2.1128E-19
Cluster	Cluster -810	GOBP name	cotranslational protein targeting to membrane	3278	364	97	49	4.5492	7.3208E-23	2.1128E-19
Cluster	Cluster -810	GOBP	GO:0045047	3278	364	99	50	4.5482	2.5873E-23	1.2445E-19
Cluster	Cluster -810	GOBP	GO:0072599	3278	364	99	50	4.5482	2.5873E-23	1.2445E-19
Cluster	Cluster -810	GOBP name	establishment of protein localization in endoplasmic reticulum	3278	364	99	50	4.5482	2.5873E-23	1.2445E-19
Cluster	Cluster -810	GOBP name	protein targeting to ER	3278	364	99	50	4.5482	2.5873E-23	1.2445E-19
Cluster	Cluster -810	GOCC name	small ribosomal subunit	3278	364	49	24	4.4109	2.453E-11	4.1906E-09
Cluster	Cluster -810	GOCC	GO:0015935	3278	364	49	24	4.4109	2.453E-11	4.1906E-09
Cluster	Cluster -808	GOBP name	NADP metabolic process	3278	448	15	9	4.3902	3.2659E-05	0.0048584
Cluster	Cluster -808	GOBP	GO:0006739	3278	448	15	9	4.3902	3.2659E-05	0.0048584
Cluster	Cluster -810	GOBP	GO:0019083	3278	364	101	48	4.2798	6.0907E-21	1.2555E-17
Cluster	Cluster -810	GOBP name	viral transcription	3278	364	101	48	4.2798	6.0907E-21	1.2555E-17
Cluster	Cluster -810	GOBP	GO:0006612	3278	364	113	53	4.2238	9.8741E-23	2.3747E-19
Cluster	Cluster -810	GOBP name	protein targeting to membrane	3278	364	113	53	4.2238	9.8741E-23	2.3747E-19
Cluster	Cluster -810	GOBP name	ribonucleoside monophosphate biosynthetic process	3278	364	20	9	4.0525	0.00011119	0.013831
Cluster	Cluster -810	GOBP	GO:0009156	3278	364	20	9	4.0525	0.00011119	0.013831
Cluster	Cluster -808	Student's T-test significant	D336H_ipc	3278	448	812	448	4.0369	0	0
Cluster	Cluster -808	Student's T-test Significant D336H_ipc	+	3278	448	812	448	4.0369	0	0
Cluster	Cluster -810	Student's T-test Significant D336H_ipc	+	3278	364	812	364	4.0369	1.7656E-254	1.7656E-254
Cluster	Cluster -810	Student's T-test significant	D336H_ipc	3278	364	812	364	4.0369	1.7656E-254	1.7656E-254
Cluster	Cluster -810	GOCC	GO:0015934	3278	364	60	26	3.9024	1.1066E-10	1.5123E-08
Cluster	Cluster -810	GOCC name	large ribosomal subunit	3278	364	60	26	3.9024	1.1066E-10	1.5123E-08
Cluster	Cluster -808	KEGG name	Lysine degradation	3278	448	19	10	3.851	5.2613E-05	0.0066555
Cluster	Cluster -808	GOBP	GO:0006754	3278	448	19	10	3.851	5.2613E-05	0.0073709
Cluster	Cluster -808	GOBP	GO:0006635	3278	448	19	10	3.851	5.2613E-05	0.0073709
Cluster	Cluster -808	GOBP name	fatty acid beta-oxidation	3278	448	19	10	3.851	5.2613E-05	0.0073709
Cluster	Cluster -808	GOBP name	ATP biosynthetic process	3278	448	19	10	3.851	5.2613E-05	0.0073709
Cluster	Cluster -808	KEGG	ko00310	3278	448	19	10	3.851	5.2613E-05	0.0066555
Cluster	Cluster -808	GOBP name	ATP metabolic process	3278	448	25	13	3.8048	4.6476E-06	0.00090501
Cluster	Cluster -808	GOBP	GO:0046034	3278	448	25	13	3.8048	4.6476E-06	0.00090501
Cluster	Cluster -810	GOBP name	cellular component biogenesis at cellular level	3278	364	44	18	3.6841	2.4784E-07	6.2742E-05
Cluster	Cluster -810	GOBP	GO:0071843	3278	364	44	18	3.6841	2.4784E-07	6.2742E-05
Cluster	Cluster -810	GOMF name	structural constituent of ribosome	3278	364	120	49	3.6772	6.6931E-18	2.8714E-14
Cluster	Cluster -810	GOMF	GO:0003735	3278	364	120	49	3.6772	6.6931E-18	2.8714E-14
Cluster	Cluster -808	GOCC	GO:0043202	3278	448	18	9	3.6585	0.00020563	0.0073955
Cluster	Cluster -808	GOCC	GO:0005775	3278	448	18	9	3.6585	0.00020563	0.0073955
Cluster	Cluster -808	GOCC name	lysosomal lumen	3278	448	18	9	3.6585	0.00020563	0.0073955
Cluster	Cluster -808	GOCC name	vacuolar lumen	3278	448	18	9	3.6585	0.00020563	0.0073955
Cluster	Cluster -810	GOBP	GO:0000956	3278	364	139	55	3.5633	2.9099E-19	4.6656E-16
Cluster	Cluster -810	GOBP name	nuclear-transcribed mRNA catabolic process	3278	364	139	55	3.5633	2.9099E-19	4.6656E-16
Cluster	Cluster -810	GOBP name	ribonucleoprotein complex biogenesis	3278	364	43	17	3.5603	9.4522E-07	0.0002165
Cluster	Cluster -810	GOBP	GO:0022613	3278	364	43	17	3.5603	9.4522E-07	0.0002165
Cluster	Cluster -808	KEGG	ko00280	3278	448	33	16	3.5476	1.2142E-06	0.0003072
Cluster	Cluster -808	KEGG name	Valine, leucine and isoleucine degradation	3278	448	33	16	3.5476	1.2142E-06	0.0003072
Cluster	Cluster -810	GOBP name	viral infectious cycle	3278	364	122	48	3.5431	9.0695E-17	8.1795E-14
Cluster	Cluster -810	GOBP	GO:0019058	3278	364	122	48	3.5431	9.0695E-17	8.1795E-14
Cluster	Cluster -808	GOCC	GO:0016469	3278	448	23	11	3.4994	6.7175E-05	0.0030602
Cluster	Cluster -808	GOCC name	proton-transporting two-sector ATPase complex	3278	448	23	11	3.4994	6.7175E-05	0.0030602
Cluster	Cluster -810	GOBP	GO:0006414	3278	364	141	54	3.4489	3.6834E-18	4.4293E-15
Cluster	Cluster -810	GOBP name	translational elongation	3278	364	141	54	3.4489	3.6834E-18	4.4293E-15
Cluster	Cluster -808	GOBP	GO:0009142	3278	448	34	16	3.4433	1.9882E-06	0.00042191
Cluster	Cluster -808	GOBP name	nucleoside triphosphate biosynthetic process	3278	448	34	16	3.4433	1.9882E-06	0.00042191
Cluster	Cluster -810	GOBP	GO:0006402	3278	364	144	55	3.4396	2.0078E-18	2.6339E-15
Cluster	Cluster -810	GOBP name	mRNA catabolic process	3278	364	144	55	3.4396	2.0078E-18	2.6339E-15
Cluster	Cluster -808	GOBP name	purine nucleoside triphosphate biosynthetic process	3278	448	24	11	3.3536	0.00010737	0.013472
Cluster	Cluster -808	GOBP	GO:0009145	3278	448	24	11	3.3536	0.00010737	0.013472
Cluster	Cluster -808	GOBP name	ribonucleoside triphosphate metabolic process	3278	448	35	16	3.3449	3.1748E-06	0.00064524
Cluster	Cluster -808	GOBP	GO:0009199	3278	448	35	16	3.3449	3.1748E-06	0.00064524
Cluster	Cluster -810	GOBP name	translational termination	3278	364	136	50	3.3108	5.3067E-16	4.5045E-13
Cluster	Cluster -810	GOBP	GO:0006415	3278	364	136	50	3.3108	5.3067E-16	4.5045E-13
Cluster	Cluster -808	GOBP	GO:0009205	3278	448	31	14	3.3044	1.5477E-05	0.0024276
Cluster	Cluster -808	GOBP name	purine ribonucleoside triphosphate metabolic process	3278	448	31	14	3.3044	1.5477E-05	0.0024276
Cluster	Cluster -810	GOBP	GO:0006401	3278	364	156	57	3.2905	5.1661E-18	5.7343E-15
Cluster	Cluster -810	GOBP name	RNA catabolic process	3278	364	156	57	3.2905	5.1661E-18	5.7343E-15
Cluster	Cluster -810	GOBP	GO:0072594	3278	364	154	56	3.2747	1.3562E-17	1.3978E-14
Cluster	Cluster -810	GOBP name	establishment of protein localization to organelle	3278	364	154	56	3.2747	1.3562E-17	1.3978E-14
Cluster	Cluster -810	GOBP	GO:0006413	3278	364	171	62	3.2652	2.2979E-19	4.1448E-16
Cluster	Cluster -810	GOBP name	translational initiation	3278	364	171	62	3.2652	2.2979E-19	4.1448E-16
Cluster	Cluster -808	GOBP	GO:0072524	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP	GO:0046496	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP name	nicotinamide nucleotide metabolic process	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP name	ribonucleoside triphosphate biosynthetic process	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP name	pyridine-containing compound metabolic process	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP name	pyridine nucleotide metabolic process	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP	GO:0019362	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP	GO:0009201	3278	448	27	12	3.252	7.5299E-05	0.0099536
Cluster	Cluster -808	GOBP	GO:0006733	3278	448	28	12	3.1358	0.0001141	0.014072
Cluster	Cluster -808	GOBP name	oxidoreduction coenzyme metabolic process	3278	448	28	12	3.1358	0.0001141	0.014072
Cluster	Cluster -810	GOBP name	cellular protein complex disassembly	3278	364	148	51	3.1032	5.7553E-15	4.371E-12
Cluster	Cluster -810	GOBP	GO:0043624	3278	364	148	51	3.1032	5.7553E-15	4.371E-12
Cluster	Cluster -810	GOBP	GO:0022415	3278	364	157	54	3.0974	9.1287E-16	7.3182E-13
Cluster	Cluster -810	GOBP name	viral reproductive process	3278	364	157	54	3.0974	9.1287E-16	7.3182E-13
Cluster	Cluster -810	GOBP	GO:0048610	3278	364	169	58	3.0906	7.6624E-17	7.3712E-14
Cluster	Cluster -810	GOBP name	cellular process involved in reproduction	3278	364	169	58	3.0906	7.6624E-17	7.3712E-14
Cluster	Cluster -810	GOBP name	protein complex disassembly	3278	364	149	51	3.0824	7.8754E-15	5.6821E-12
Cluster	Cluster -810	GOBP	GO:0043241	3278	364	149	51	3.0824	7.8754E-15	5.6821E-12
Cluster	Cluster -808	GOBP name	purine nucleoside triphosphate metabolic process	3278	448	38	16	3.0808	1.1324E-05	0.0019453
Cluster	Cluster -808	GOBP	GO:0009144	3278	448	38	16	3.0808	1.1324E-05	0.0019453
Cluster	Cluster -808	GOBP name	lipid modification	3278	448	29	12	3.0277	0.00016853	0.019772
Cluster	Cluster -808	GOBP	GO:0030258	3278	448	29	12	3.0277	0.00016853	0.019772
Cluster	Cluster -810	GOBP	GO:0044085	3278	364	54	18	3.0018	7.513E-06	0.0013384
Cluster	Cluster -810	GOBP name	cellular component biogenesis	3278	364	54	18	3.0018	7.513E-06	0.0013384
Cluster	Cluster -808	GOBP	GO:0009141	3278	448	50	20	2.9268	2.4055E-06	0.00049588
Cluster	Cluster -808	GOBP name	nucleoside triphosphate metabolic process	3278	448	50	20	2.9268	2.4055E-06	0.00049588
Cluster	Cluster -810	GOBP name	translation	3278	364	216	70	2.9184	1.0728E-18	1.548E-15
Cluster	Cluster -810	GOBP	GO:0006412	3278	364	216	70	2.9184	1.0728E-18	1.548E-15
Cluster	Cluster -808	GOBP	GO:0009152	3278	448	43	17	2.8928	1.6147E-05	0.0025054
Cluster	Cluster -808	GOBP name	purine ribonucleotide biosynthetic process	3278	448	43	17	2.8928	1.6147E-05	0.0025054
Cluster	Cluster -810	GOBP	GO:0034623	3278	364	165	52	2.8381	1.8777E-13	1.2316E-10
Cluster	Cluster -810	GOBP name	cellular macromolecular complex disassembly	3278	364	165	52	2.8381	1.8777E-13	1.2316E-10
Cluster	Cluster -808	GOBP	GO:0009260	3278	448	49	19	2.8372	7.2423E-06	0.0013384
Cluster	Cluster -808	GOBP name	ribonucleotide biosynthetic process	3278	448	49	19	2.8372	7.2423E-06	0.0013384
Cluster	Cluster -810	GOBP name	macromolecular complex disassembly	3278	364	166	52	2.821	2.4601E-13	1.5435E-10
Cluster	Cluster -810	GOBP	GO:0032984	3278	364	166	52	2.821	2.4601E-13	1.5435E-10
Cluster	Cluster -810	GOCC name	ribosome	3278	364	74	23	2.799	1.6474E-06	0.00014683
Cluster	Cluster -810	GOCC	GO:0005840	3278	364	74	23	2.799	1.6474E-06	0.00014683
Cluster	Cluster -808	GOBP	GO:0006164	3278	448	45	17	2.7642	3.177E-05	0.0047755
Cluster	Cluster -808	GOBP name	purine nucleotide biosynthetic process	3278	448	45	17	2.7642	3.177E-05	0.0047755
Cluster	Cluster -810	GOMF name	translation factor activity, nucleic acid binding	3278	364	60	18	2.7016	3.6263E-05	0.014142
Cluster	Cluster -810	GOMF	GO:0008135	3278	364	60	18	2.7016	3.6263E-05	0.014142
Cluster	Cluster -808	GOBP name	purine ribonucleotide metabolic process	3278	448	52	19	2.6735	1.9125E-05	0.0029359
Cluster	Cluster -808	GOBP	GO:0009150	3278	448	52	19	2.6735	1.9125E-05	0.0029359
Cluster	Cluster -808	GOBP name	ribonucleotide metabolic process	3278	448	60	21	2.5609	1.5037E-05	0.0023934
Cluster	Cluster -808	GOBP	GO:0009259	3278	448	60	21	2.5609	1.5037E-05	0.0023934
Cluster	Cluster -810	GOCC name	integral to plasma membrane	3278	364	78	22	2.54	1.5079E-05	0.00083544
Cluster	Cluster -810	GOCC	GO:0005887	3278	364	78	22	2.54	1.5079E-05	0.00083544
Cluster	Cluster -808	GOBP name	organic acid catabolic process	3278	448	71	24	2.4733	7.4669E-06	0.0013384
Cluster	Cluster -808	GOBP	GO:0046395	3278	448	71	24	2.4733	7.4669E-06	0.0013384
Cluster	Cluster -808	GOBP name	carboxylic acid catabolic process	3278	448	71	24	2.4733	7.4669E-06	0.0013384
Cluster	Cluster -808	GOBP	GO:0016054	3278	448	71	24	2.4733	7.4669E-06	0.0013384
Cluster	Cluster -810	GOMF name	helicase activity	3278	364	73	20	2.4673	5.5859E-05	0.018433
Cluster	Cluster -810	GOMF	GO:0004386	3278	364	73	20	2.4673	5.5859E-05	0.018433
Cluster	Cluster -810	GOCC name	intrinsic to plasma membrane	3278	364	81	22	2.4459	2.819E-05	0.0015208
Cluster	Cluster -810	GOCC	GO:0031226	3278	364	81	22	2.4459	2.819E-05	0.0015208
Cluster	Cluster -808	GOBP	GO:0009165	3278	448	72	24	2.439	9.7195E-06	0.0016898
Cluster	Cluster -808	GOBP name	nucleotide biosynthetic process	3278	448	72	24	2.439	9.7195E-06	0.0016898
Cluster	Cluster -810	GOBP	GO:0006605	3278	364	211	57	2.4328	1.4908E-11	8.2738E-09
Cluster	Cluster -810	GOBP name	protein targeting	3278	364	211	57	2.4328	1.4908E-11	8.2738E-09
Cluster	Cluster -810	GOMF	GO:0003729	3278	364	82	22	2.4161	3.4405E-05	0.014142
Cluster	Cluster -810	GOMF name	mRNA binding	3278	364	82	22	2.4161	3.4405E-05	0.014142
Cluster	Cluster -808	GOCC name	mitochondrial matrix	3278	448	138	43	2.2799	3.0778E-08	3.5052E-06
Cluster	Cluster -808	GOCC	GO:0005759	3278	448	138	43	2.2799	3.0778E-08	3.5052E-06
Cluster	Cluster -808	GOBP name	nucleotide metabolic process	3278	448	132	41	2.2727	7.1383E-08	2.2392E-05
Cluster	Cluster -808	GOBP	GO:0009117	3278	448	132	41	2.2727	7.1383E-08	2.2392E-05
Cluster	Cluster -808	GOBP name	nucleoside phosphate metabolic process	3278	448	132	41	2.2727	7.1383E-08	2.2392E-05
Cluster	Cluster -808	GOBP	GO:0006753	3278	448	132	41	2.2727	7.1383E-08	2.2392E-05
Cluster	Cluster -810	GOBP name	regulation of translation	3278	364	131	33	2.2686	1.9225E-06	0.00041405
Cluster	Cluster -810	GOBP	GO:0006417	3278	364	131	33	2.2686	1.9225E-06	0.00041405
Cluster	Cluster -810	GOMF	GO:0005198	3278	364	229	57	2.2415	4.8564E-10	1.0417E-06
Cluster	Cluster -810	GOMF name	structural molecule activity	3278	364	229	57	2.2415	4.8564E-10	1.0417E-06
Cluster	Cluster -810	GOBP name	reproductive process	3278	364	332	82	2.2242	5.2538E-14	3.6101E-11
Cluster	Cluster -810	GOBP	GO:0022414	3278	364	332	82	2.2242	5.2538E-14	3.6101E-11
Cluster	Cluster -808	GOCC name	intracellular organelle lumen	3278	448	221	67	2.2183	1.2832E-11	2.3914E-09
Cluster	Cluster -808	GOCC	GO:0070013	3278	448	221	67	2.2183	1.2832E-11	2.3914E-09
Cluster	Cluster -808	GOBP name	nucleobase-containing compound biosynthetic process	3278	448	81	24	2.168	7.8492E-05	0.010204
Cluster	Cluster -808	GOBP	GO:0034654	3278	448	81	24	2.168	7.8492E-05	0.010204
Cluster	Cluster -808	GOCC	GO:0043233	3278	448	230	68	2.1633	3.1358E-11	4.9449E-09
Cluster	Cluster -808	GOCC name	organelle lumen	3278	448	230	68	2.1633	3.1358E-11	4.9449E-09
Cluster	Cluster -808	GOBP name	small molecule catabolic process	3278	448	109	32	2.1481	7.038E-06	0.0013189
Cluster	Cluster -808	GOBP	GO:0044282	3278	448	109	32	2.1481	7.038E-06	0.0013189
Cluster	Cluster -808	GOBP	GO:0055086	3278	448	156	45	2.1107	1.8004E-07	4.9019E-05
Cluster	Cluster -808	GOBP name	nucleobase-containing small molecule metabolic process	3278	448	156	45	2.1107	1.8004E-07	4.9019E-05
Cluster	Cluster -808	GOCC name	membrane-enclosed lumen	3278	448	253	72	2.0823	5.5289E-11	8.0959E-09
Cluster	Cluster -808	GOCC	GO:0031974	3278	448	253	72	2.0823	5.5289E-11	8.0959E-09
Cluster	Cluster -808	GOBP name	heterocycle metabolic process	3278	448	179	50	2.0438	1.1164E-07	3.222E-05
Cluster	Cluster -808	GOBP	GO:0046483	3278	448	179	50	2.0438	1.1164E-07	3.222E-05
Cluster	Cluster -808	GOBP name	heterocycle biosynthetic process	3278	448	90	25	2.0325	0.00016819	0.019772
Cluster	Cluster -808	GOBP	GO:0018130	3278	448	90	25	2.0325	0.00016819	0.019772
Cluster	Cluster -810	GOCC	GO:0030529	3278	364	434	97	2.0127	1.3191E-13	3.0046E-11
Cluster	Cluster -810	GOCC name	ribonucleoprotein complex	3278	364	434	97	2.0127	1.3191E-13	3.0046E-11
Cluster	Cluster -810	GOBP name	cellular component disassembly at cellular level	3278	364	243	54	2.0012	9.4653E-08	2.9061E-05
Cluster	Cluster -810	GOBP	GO:0071845	3278	364	243	54	2.0012	9.4653E-08	2.9061E-05
Cluster	Cluster -810	GOBP name	cellular component disassembly	3278	364	244	54	1.993	1.0914E-07	3.214E-05
Cluster	Cluster -810	GOBP	GO:0022411	3278	364	244	54	1.993	1.0914E-07	3.214E-05
Cluster	Cluster -810	GOBP name	mRNA metabolic process	3278	364	375	81	1.9452	1.4724E-10	7.8689E-08
Cluster	Cluster -810	GOBP	GO:0016071	3278	364	375	81	1.9452	1.4724E-10	7.8689E-08
Cluster	Cluster -810	GOCC name	focal adhesion	3278	364	213	45	1.9026	4.7436E-06	0.00029468
Cluster	Cluster -810	GOCC name	cell-substrate adherens junction	3278	364	213	45	1.9026	4.7436E-06	0.00029468
Cluster	Cluster -810	GOCC	GO:0005925	3278	364	213	45	1.9026	4.7436E-06	0.00029468
Cluster	Cluster -810	GOCC	GO:0030055	3278	364	213	45	1.9026	4.7436E-06	0.00029468
Cluster	Cluster -810	GOCC name	cell-substrate junction	3278	364	213	45	1.9026	4.7436E-06	0.00029468
Cluster	Cluster -810	GOCC	GO:0005924	3278	364	213	45	1.9026	4.7436E-06	0.00029468
Cluster	Cluster -808	GOBP	GO:0055114	3278	448	193	50	1.8956	1.2855E-06	0.00028983
Cluster	Cluster -808	GOBP name	oxidation-reduction process	3278	448	193	50	1.8956	1.2855E-06	0.00028983
Cluster	Cluster -810	GOCC name	adherens junction	3278	364	227	46	1.8249	1.1462E-05	0.00067137
Cluster	Cluster -810	GOCC	GO:0005912	3278	364	227	46	1.8249	1.1462E-05	0.00067137
Cluster	Cluster -810	GOBP name	posttranscriptional regulation of gene expression	3278	364	198	40	1.8193	4.4533E-05	0.0063625
Cluster	Cluster -810	GOBP	GO:0010608	3278	364	198	40	1.8193	4.4533E-05	0.0063625
Cluster	Cluster -808	GOMF	GO:0046983	3278	448	169	42	1.8184	2.5233E-05	0.013531
Cluster	Cluster -808	GOMF name	protein dimerization activity	3278	448	169	42	1.8184	2.5233E-05	0.013531
Cluster	Cluster -810	GOCC	GO:0070161	3278	364	229	46	1.809	1.4418E-05	0.00082102
Cluster	Cluster -810	GOCC name	anchoring junction	3278	364	229	46	1.809	1.4418E-05	0.00082102
Cluster	Cluster -810	GOBP	GO:0034621	3278	364	414	82	1.7837	9.0812E-09	3.4485E-06
Cluster	Cluster -810	GOBP name	cellular macromolecular complex subunit organization	3278	364	414	82	1.7837	9.0812E-09	3.4485E-06
Cluster	Cluster -808	GOBP name	cellular ketone metabolic process	3278	448	279	68	1.7833	1.85E-07	4.9435E-05
Cluster	Cluster -808	GOBP	GO:0042180	3278	448	279	68	1.7833	1.85E-07	4.9435E-05
Cluster	Cluster -808	GOBP name	organic acid metabolic process	3278	448	280	68	1.777	2.1338E-07	5.5263E-05
Cluster	Cluster -808	GOBP	GO:0006082	3278	448	280	68	1.777	2.1338E-07	5.5263E-05
Cluster	Cluster -808	GOBP name	oxoacid metabolic process	3278	448	276	67	1.7762	2.6801E-07	6.5549E-05
Cluster	Cluster -808	GOBP name	carboxylic acid metabolic process	3278	448	276	67	1.7762	2.6801E-07	6.5549E-05
Cluster	Cluster -808	GOBP	GO:0043436	3278	448	276	67	1.7762	2.6801E-07	6.5549E-05
Cluster	Cluster -808	GOBP	GO:0019752	3278	448	276	67	1.7762	2.6801E-07	6.5549E-05
Cluster	Cluster -810	GOBP name	intracellular protein transport	3278	364	315	62	1.7725	9.37E-07	0.0002165
Cluster	Cluster -810	GOBP	GO:0006886	3278	364	315	62	1.7725	9.37E-07	0.0002165
Cluster	Cluster -810	GOBP name	protein complex subunit organization	3278	364	388	75	1.7408	1.2624E-07	3.5031E-05
Cluster	Cluster -810	GOBP	GO:0071822	3278	364	388	75	1.7408	1.2624E-07	3.5031E-05
Cluster	Cluster -810	GOBP	GO:0032774	3278	364	513	99	1.7379	7.4618E-10	3.3648E-07
Cluster	Cluster -810	GOBP name	RNA biosynthetic process	3278	364	513	99	1.7379	7.4618E-10	3.3648E-07
Cluster	Cluster -810	GOMF	GO:0003723	3278	364	427	81	1.7083	8.4633E-08	7.2615E-05
Cluster	Cluster -810	GOMF name	RNA binding	3278	364	427	81	1.7083	8.4633E-08	7.2615E-05
Cluster	Cluster -810	GOBP	GO:0044265	3278	364	328	62	1.7023	3.7255E-06	0.00073643
Cluster	Cluster -810	GOBP name	cellular macromolecule catabolic process	3278	364	328	62	1.7023	3.7255E-06	0.00073643
Cluster	Cluster -810	GOBP	GO:0010467	3278	364	503	95	1.7008	5.9857E-09	2.3344E-06
Cluster	Cluster -810	GOBP name	gene expression	3278	364	503	95	1.7008	5.9857E-09	2.3344E-06
Cluster	Cluster -810	GOBP name	viral reproduction	3278	364	335	63	1.6936	3.68E-06	0.00073643
Cluster	Cluster -810	GOBP	GO:0016032	3278	364	335	63	1.6936	3.68E-06	0.00073643
Cluster	Cluster -810	GOBP name	macromolecule catabolic process	3278	364	353	65	1.6582	5.2546E-06	0.00099767
Cluster	Cluster -810	GOBP	GO:0009057	3278	364	353	65	1.6582	5.2546E-06	0.00099767
Cluster	Cluster -810	GOBP name	cellular macromolecule biosynthetic process	3278	364	662	121	1.646	1.8679E-10	9.6266E-08
